"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Sukkot III (CH''M)","11/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","12/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","13/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","14/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","15/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","16/10/2014",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","16/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","17/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","18/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","19/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","20/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","21/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","22/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","23/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","24/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Tu BiShvat","4/2/2015",,,,"true","New Year for Trees","3","Jewish Holidays"
"Erev Purim","4/3/2015",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","5/3/2015",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","6/3/2015",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Erev Pesach","3/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH''M)","5/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH''M)","6/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","7/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","8/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","9/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","10/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","16/4/2015",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Yom HaZikaron","22/4/2015",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","23/4/2015",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","3/5/2015",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","7/5/2015",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","17/5/2015",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Erev Shavuot","23/5/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","24/5/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","25/7/2015",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","26/7/2015",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Leil Selichot","5/9/2015",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","13/9/2015",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5776","14/9/2015",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","15/9/2015",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","22/9/2015",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","23/9/2015",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","27/9/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","28/9/2015",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II (CH''M)","29/9/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot III (CH''M)","30/9/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","1/10/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","2/10/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","3/10/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","4/10/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","5/10/2015",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","6/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","7/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","8/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","9/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","10/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","11/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","12/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","13/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","14/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Tu BiShvat","25/1/2016",,,,"true","New Year for Trees","3","Jewish Holidays"
"Purim Katan","23/2/2016",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Erev Purim","23/3/2016",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","24/3/2016",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","25/3/2016",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Erev Pesach","22/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","23/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH''M)","24/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH''M)","25/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","26/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","27/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","28/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","29/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","5/5/2016",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Yom HaZikaron","11/5/2016",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","12/5/2016",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","22/5/2016",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","26/5/2016",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/6/2016",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Erev Shavuot","11/6/2016",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","12/6/2016",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","13/8/2016",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","14/8/2016",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Leil Selichot","24/9/2016",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","2/10/2016",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5777","3/10/2016",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","4/10/2016",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","11/10/2016",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","12/10/2016",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","16/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","17/10/2016",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II (CH''M)","18/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot III (CH''M)","19/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","20/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","21/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","22/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","23/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","24/10/2016",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","24/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","25/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","26/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","27/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","28/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","29/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","30/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","31/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","1/1/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Tu BiShvat","11/2/2017",,,,"true","New Year for Trees","3","Jewish Holidays"
"Erev Purim","11/3/2017",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","12/3/2017",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","13/3/2017",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Erev Pesach","10/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","11/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH''M)","12/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH''M)","13/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","14/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","15/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","16/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","17/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","24/4/2017",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Yom HaZikaron","1/5/2017",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","2/5/2017",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","10/5/2017",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","14/5/2017",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","24/5/2017",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Erev Shavuot","30/5/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","31/5/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","31/7/2017",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","1/8/2017",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Leil Selichot","16/9/2017",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","20/9/2017",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5778","21/9/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","22/9/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","29/9/2017",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","30/9/2017",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","4/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","5/10/2017",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II (CH''M)","6/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot III (CH''M)","7/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","8/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","11/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","12/10/2017",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","12/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","13/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","14/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","15/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","16/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","17/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","18/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","19/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","20/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Tu BiShvat","31/1/2018",,,,"true","New Year for Trees","3","Jewish Holidays"
"Erev Purim","28/2/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","1/3/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","2/3/2018",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Erev Pesach","30/3/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","31/3/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH''M)","1/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH''M)","2/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","3/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","5/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","6/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","12/4/2018",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Yom HaZikaron","18/4/2018",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","19/4/2018",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","29/4/2018",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","3/5/2018",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","13/5/2018",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Erev Shavuot","19/5/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","20/5/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","21/7/2018",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","22/7/2018",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Leil Selichot","1/9/2018",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","9/9/2018",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5779","10/9/2018",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","11/9/2018",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","18/9/2018",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","19/9/2018",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","23/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","24/9/2018",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II (CH''M)","25/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot III (CH''M)","26/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","27/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","28/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","29/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","30/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","1/10/2018",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","2/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","3/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","4/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","5/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","6/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","7/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","8/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","9/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","10/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
